Month,Date,Day,Sales
January,1/1/19,Tuesday,3265.69
January,1/2/19,Wednesday,6727.80
January,1/3/19,Thursday,6261.28
January,1/4/19,Friday,6445.43
January,1/5/19,Saturday,8538.66
January,1/6/19,Sunday,14984.10
January,1/7/19,Monday,8385.20
January,1/8/19,Tuesday,1915.21
January,1/9/19,Wednesday,5365.06
January,1/10/19,Thursday,8170.35
January,1/11/19,Friday,8029.17
January,1/12/19,Saturday,11914.84
January,1/13/19,Sunday,9391.92
January,1/14/19,Monday,10570.51
January,1/15/19,Tuesday,8372.92
January,1/16/19,Wednesday,10349.52
January,1/17/19,Thursday,3032.42
January,1/18/19,Friday,1430.27
January,1/19/19,Saturday,8415.89
January,1/20/19,Sunday,10607.34
January,1/21/19,Monday,15168.25
January,1/22/19,Tuesday,5530.80
January,1/23/19,Wednesday,5911.38
January,1/24/19,Thursday,9177.07
January,1/25/19,Friday,13203.93
January,1/26/19,Saturday,10865.16
January,1/27/19,Sunday,12019.20
January,1/28/19,Monday,22761.59
January,1/29/19,Tuesday,3744.49
January,1/30/19,Wednesday,7771.35
January,1/31/19,Thursday,6469.99
February,2/1/19,Friday,8280.85
February,2/2/19,Saturday,5371.19
February,2/3/19,Sunday,9674.29
February,2/4/19,Monday,8329.96
February,2/5/19,Tuesday,3038.56
February,2/6/19,Wednesday,5622.87
February,2/7/19,Thursday,6862.85
February,2/8/19,Friday,37144.11
February,2/9/19,Saturday,5665.84
February,2/10/19,Sunday,10748.53
February,2/11/19,Monday,7145.22
February,2/12/19,Tuesday,3554.20
February,2/13/19,Wednesday,10103.98
February,2/14/19,Thursday,4935.36
February,2/15/19,Friday,4880.11
February,2/16/19,Saturday,10490.71
February,2/17/19,Sunday,6488.40
February,2/18/19,Monday,10601.20
February,2/19/19,Tuesday,7139.08
February,2/20/19,Wednesday,9434.89
February,2/21/19,Thursday,9281.42
February,2/22/19,Friday,5880.69
February,2/23/19,Saturday,12019.20
February,2/24/19,Sunday,11761.38
February,2/25/19,Monday,12399.79
February,2/26/19,Tuesday,2596.59
February,2/27/19,Wednesday,9330.53
February,2/28/19,Thursday,1657.40
March,3/1/19,Friday,8925.39
March,3/2/19,Saturday,9035.88
March,3/3/19,Sunday,7415.32
March,3/4/19,Monday,7157.50
March,3/5/19,Tuesday,8575.50
March,3/6/19,Wednesday,2320.36
March,3/7/19,Thursday,8636.88
March,3/8/19,Friday,4168.05
March,3/9/19,Saturday,13001.36
March,3/10/19,Sunday,6764.64
March,3/11/19,Monday,6979.48
March,3/12/19,Tuesday,11294.85
March,3/13/19,Wednesday,5917.52
March,3/14/19,Thursday,13001.36
March,3/15/19,Friday,6187.62
March,3/16/19,Saturday,5997.32
March,3/17/19,Sunday,19563.42
March,3/18/19,Monday,0.00
March,3/19/19,Tuesday,6476.13
March,3/20/19,Wednesday,7482.84
March,3/21/19,Thursday,8636.88
March,3/22/19,Friday,12172.66
March,3/23/19,Saturday,14339.55
March,3/24/19,Sunday,17672.76
March,3/25/19,Monday,3498.95
March,3/26/19,Tuesday,9146.38
March,3/27/19,Wednesday,6703.25
March,3/28/19,Thursday,13750.26
March,3/29/19,Friday,12062.17
March,3/30/19,Saturday,13038.19
March,3/31/19,Sunday,27187.45
April,4/1/19,Monday,3990.03
April,4/2/19,Tuesday,6408.60
April,4/3/19,Wednesday,6703.25
April,4/4/19,Thursday,6101.68
April,4/5/19,Friday,11129.12
April,4/6/19,Saturday,13750.26
April,4/7/19,Sunday,11890.29
April,4/8/19,Monday,705.93
April,4/9/19,Tuesday,5641.29
April,4/10/19,Wednesday,7022.45
April,4/11/19,Thursday,6721.67
April,4/12/19,Friday,43221.23
April,4/13/19,Saturday,8655.30
April,4/14/19,Sunday,8354.51
April,4/15/19,Monday,1976.60
April,4/16/19,Tuesday,6334.94
April,4/17/19,Wednesday,5162.49
April,4/18/19,Thursday,9048.16
April,4/19/19,Friday,5549.21
April,4/20/19,Saturday,9778.64
April,4/21/19,Sunday,12203.35
April,4/22/19,Monday,4738.93
April,4/23/19,Tuesday,9735.67
April,4/24/19,Wednesday,9483.99
April,4/25/19,Thursday,3591.03
April,4/26/19,Friday,8268.57
April,4/27/19,Saturday,8710.54
April,4/28/19,Sunday,15530.43
April,4/29/19,Monday,3695.38
April,4/30/19,Tuesday,7488.98
May,5/1/19,Wednesday,8379.06
May,5/2/19,Thursday,10079.43
May,5/3/19,Friday,6911.96
May,5/4/19,Saturday,12491.86
May,5/5/19,Sunday,9526.96
May,5/6/19,Monday,5892.97
May,5/7/19,Tuesday,8833.31
May,5/8/19,Wednesday,7163.64
May,5/9/19,Thursday,9797.06
May,5/10/19,Friday,9840.03
May,5/11/19,Saturday,8833.31
May,5/12/19,Sunday,17457.92
May,5/13/19,Monday,7145.22
May,5/14/19,Tuesday,9686.57
May,5/15/19,Wednesday,9619.04
May,5/16/19,Thursday,10681.00
May,5/17/19,Friday,13866.89
May,5/18/19,Saturday,12737.40
May,5/19/19,Sunday,16604.66
May,5/20/19,Monday,5604.46
May,5/21/19,Tuesday,7550.36
May,5/22/19,Wednesday,6144.65
May,5/23/19,Thursday,15481.32
May,5/24/19,Friday,13246.90
May,5/25/19,Saturday,17697.32
May,5/26/19,Sunday,13105.71
May,5/27/19,Monday,3818.15
May,5/28/19,Tuesday,8354.51
May,5/29/19,Wednesday,10773.08
May,5/30/19,Thursday,6942.65
May,5/31/19,Friday,3228.86
June,6/1/19,Saturday,10908.13
June,6/2/19,Sunday,12743.54
June,6/3/19,Monday,4358.34
June,6/4/19,Tuesday,15131.42
June,6/5/19,Wednesday,10576.65
June,6/6/19,Thursday,16316.15
June,6/7/19,Friday,10730.11
June,6/8/19,Saturday,13965.11
June,6/9/19,Sunday,14597.37
June,6/10/19,Monday,2639.56
June,6/11/19,Tuesday,12755.82
June,6/12/19,Wednesday,15278.75
June,6/13/19,Thursday,12706.71
June,6/14/19,Friday,9533.10
June,6/15/19,Saturday,12651.46
